data_pregao,sigla_acao,nome_acao,preco_abertura,preco_fechamento
2020-01-02,AZEV3,AZEVEDO,700.0,700.0
2020-01-02,AZEV4,AZEVEDO,443.0,442.0
2020-01-02,MEND5,MENDES JR,880.0,880.0
2020-01-03,AZEV3,AZEVEDO,689.0,700.0
2020-01-06,AZEV3,AZEVEDO,677.0,660.0
2020-01-03,AZEV4,AZEVEDO,425.0,429.0
2020-01-06,AZEV4,AZEVEDO,429.0,418.0
2020-01-06,BZLI11,FII BRREALTY,1500.0,1500.0
2020-01-06,MEND5,MENDES JR,900.0,900.0
2020-01-03,MEND6,MENDES JR,1000.0,1000.0
2020-01-06,MEND6,MENDES JR,1000.0,1000.0
2020-01-07,AQLL11,FII AQUILLA,36101.0,36102.0
2020-01-07,AZEV3,AZEVEDO,660.0,640.0
2020-01-08,AZEV3,AZEVEDO,689.0,810.0
2020-01-09,AZEV3,AZEVEDO,950.0,844.0
2020-01-10,AZEV3,AZEVEDO,791.0,755.0
2020-01-07,AZEV4,AZEVEDO,418.0,444.0
2020-01-08,AZEV4,AZEVEDO,466.0,521.0
2020-01-09,AZEV4,AZEVEDO,536.0,490.0
2020-01-10,AZEV4,AZEVEDO,489.0,468.0
2020-01-07,BZLI11,FII BRREALTY,1500.0,1505.0
2020-01-08,BZLI11,FII BRREALTY,1800.0,1640.0
2020-01-09,BZLI11,FII BRREALTY,1640.0,1640.0
2020-01-10,BZLI11,FII BRREALTY,1570.0,1550.0
2020-01-08,MEND5,MENDES JR,950.0,950.0
2020-01-09,MEND5,MENDES JR,970.0,970.0
2020-01-10,MEND5,MENDES JR,650.0,650.0
2020-01-07,MEND6,MENDES JR,1200.0,1200.0
2020-01-08,MEND6,MENDES JR,1200.0,1200.0
2020-01-09,MEND6,MENDES JR,1180.0,1180.0
2020-01-10,MEND6,MENDES JR,950.0,950.0
2020-01-13,AZEV3,AZEVEDO,755.0,818.0
2020-01-14,AZEV3,AZEVEDO,848.0,838.0
2020-01-15,AZEV3,AZEVEDO,857.0,870.0
2020-01-16,AZEV3,AZEVEDO,932.0,970.0
2020-01-17,AZEV3,AZEVEDO,1000.0,994.0
2020-01-20,AZEV3,AZEVEDO,1010.0,1035.0
2020-01-21,AZEV3,AZEVEDO,1060.0,998.0
2020-01-22,AZEV3,AZEVEDO,961.0,961.0
2020-01-23,AZEV3,AZEVEDO,1040.0,1008.0
2020-01-13,AZEV4,AZEVEDO,490.0,519.0
2020-01-14,AZEV4,AZEVEDO,538.0,554.0
2020-01-15,AZEV4,AZEVEDO,580.0,630.0
2020-01-16,AZEV4,AZEVEDO,654.0,670.0
2020-01-17,AZEV4,AZEVEDO,684.0,646.0
2020-01-20,AZEV4,AZEVEDO,685.0,660.0
2020-01-21,AZEV4,AZEVEDO,660.0,628.0
2020-01-22,AZEV4,AZEVEDO,654.0,655.0
2020-01-23,AZEV4,AZEVEDO,670.0,674.0
2020-01-13,BZLI11,FII BRREALTY,1500.0,1600.0
2020-01-14,BZLI11,FII BRREALTY,1500.0,1550.0
2020-01-15,BZLI11,FII BRREALTY,1550.0,1580.0
2020-01-16,BZLI11,FII BRREALTY,1580.0,1580.0
2020-01-17,BZLI11,FII BRREALTY,1580.0,1600.0
2020-01-21,BZLI11,FII BRREALTY,1550.0,1550.0
2020-01-22,BZLI11,FII BRREALTY,1550.0,1550.0
2020-01-23,BZLI11,FII BRREALTY,1550.0,1550.0
2020-01-24,AZEV3,AZEVEDO,1020.0,1002.0
2020-01-27,AZEV3,AZEVEDO,992.0,984.0
2020-01-28,AZEV3,AZEVEDO,980.0,935.0
2020-01-29,AZEV3,AZEVEDO,928.0,900.0
2020-01-30,AZEV3,AZEVEDO,900.0,839.0
2020-01-31,AZEV3,AZEVEDO,830.0,825.0
2020-02-03,AZEV3,AZEVEDO,828.0,785.0
2020-02-04,AZEV3,AZEVEDO,801.0,790.0
2020-02-05,AZEV3,AZEVEDO,790.0,785.0
2020-01-24,AZEV4,AZEVEDO,677.0,660.0
2020-01-27,AZEV4,AZEVEDO,635.0,620.0
2020-01-28,AZEV4,AZEVEDO,622.0,605.0
2020-01-29,AZEV4,AZEVEDO,628.0,623.0
2020-01-30,AZEV4,AZEVEDO,564.0,537.0
2020-01-31,AZEV4,AZEVEDO,534.0,470.0
2020-02-03,AZEV4,AZEVEDO,460.0,490.0
2020-02-04,AZEV4,AZEVEDO,529.0,504.0
2020-02-05,AZEV4,AZEVEDO,512.0,499.0
2020-01-24,BZLI11,FII BRREALTY,1592.0,1592.0
2020-01-27,BZLI11,FII BRREALTY,1592.0,1500.0
2020-01-28,BZLI11,FII BRREALTY,1490.0,1580.0
2020-01-29,BZLI11,FII BRREALTY,1592.0,1640.0
2020-01-30,BZLI11,FII BRREALTY,1650.0,1640.0
2020-01-31,BZLI11,FII BRREALTY,1550.0,1580.0
2020-02-03,BZLI11,FII BRREALTY,1550.0,1551.0
2020-02-04,BZLI11,FII BRREALTY,1600.0,1550.0
2020-02-13,AQLL11,FII AQUILLA,36102.0,36102.0
2020-02-06,AZEV3,AZEVEDO,747.0,789.0
2020-02-07,AZEV3,AZEVEDO,755.0,789.0
2020-02-10,AZEV3,AZEVEDO,785.0,748.0
2020-02-11,AZEV3,AZEVEDO,749.0,730.0
2020-02-12,AZEV3,AZEVEDO,729.0,727.0
2020-02-13,AZEV3,AZEVEDO,720.0,729.0
2020-02-14,AZEV3,AZEVEDO,750.0,765.0
2020-02-17,AZEV3,AZEVEDO,724.0,720.0
2020-02-06,AZEV4,AZEVEDO,498.0,478.0
2020-02-07,AZEV4,AZEVEDO,475.0,445.0
2020-02-10,AZEV4,AZEVEDO,445.0,405.0
2020-02-11,AZEV4,AZEVEDO,439.0,422.0
2020-02-12,AZEV4,AZEVEDO,430.0,421.0
2020-02-13,AZEV4,AZEVEDO,400.0,450.0
2020-02-14,AZEV4,AZEVEDO,450.0,444.0
2020-02-17,AZEV4,AZEVEDO,440.0,427.0
2020-02-06,BZLI11,FII BRREALTY,1640.0,1580.0
2020-02-07,BZLI11,FII BRREALTY,1580.0,1580.0
2020-02-10,BZLI11,FII BRREALTY,1600.0,1600.0
2020-02-11,BZLI11,FII BRREALTY,1580.0,1550.0
2020-02-12,BZLI11,FII BRREALTY,1550.0,1550.0
2020-02-13,BZLI11,FII BRREALTY,1590.0,1580.0
2020-02-14,BZLI11,FII BRREALTY,1640.0,1580.0
2020-02-17,BZLI11,FII BRREALTY,1580.0,1580.0
2020-02-18,AZEV3,AZEVEDO,720.0,696.0
2020-02-19,AZEV3,AZEVEDO,690.0,715.0
2020-02-20,AZEV3,AZEVEDO,690.0,690.0
2020-02-21,AZEV3,AZEVEDO,694.0,694.0
2020-02-26,AZEV3,AZEVEDO,645.0,640.0
2020-02-27,AZEV3,AZEVEDO,600.0,635.0
2020-02-28,AZEV3,AZEVEDO,562.0,582.0
2020-03-02,AZEV3,AZEVEDO,582.0,586.0
2020-03-03,AZEV3,AZEVEDO,600.0,600.0
2020-02-18,AZEV4,AZEVEDO,426.0,410.0
2020-02-19,AZEV4,AZEVEDO,404.0,399.0
2020-02-20,AZEV4,AZEVEDO,405.0,398.0
2020-02-21,AZEV4,AZEVEDO,398.0,395.0
2020-02-26,AZEV4,AZEVEDO,390.0,350.0
2020-02-27,AZEV4,AZEVEDO,351.0,370.0
2020-02-28,AZEV4,AZEVEDO,350.0,342.0
2020-03-02,AZEV4,AZEVEDO,342.0,370.0
2020-03-03,AZEV4,AZEVEDO,387.0,375.0
2020-02-18,BZLI11,FII BRREALTY,1580.0,1580.0
2020-02-19,BZLI11,FII BRREALTY,1550.0,1627.0
2020-02-20,BZLI11,FII BRREALTY,1600.0,1550.0
2020-02-21,BZLI11,FII BRREALTY,1600.0,1480.0
2020-02-26,BZLI11,FII BRREALTY,1480.0,1500.0
2020-02-27,BZLI11,FII BRREALTY,1580.0,1580.0
2020-02-28,BZLI11,FII BRREALTY,1580.0,1580.0
2020-03-02,BZLI11,FII BRREALTY,1581.0,1500.0
2020-03-03,BZLI11,FII BRREALTY,1585.0,1560.0
2020-03-04,AZEV3,AZEVEDO,600.0,570.0
2020-03-05,AZEV3,AZEVEDO,560.0,551.0
2020-03-06,AZEV3,AZEVEDO,532.0,515.0
2020-03-09,AZEV3,AZEVEDO,495.0,510.0
2020-03-10,AZEV3,AZEVEDO,442.0,510.0
2020-03-11,AZEV3,AZEVEDO,494.0,444.0
2020-03-12,AZEV3,AZEVEDO,441.0,499.0
2020-03-13,AZEV3,AZEVEDO,499.0,499.0
2020-03-04,AZEV4,AZEVEDO,375.0,361.0
2020-03-05,AZEV4,AZEVEDO,384.0,345.0
2020-03-06,AZEV4,AZEVEDO,345.0,335.0
2020-03-09,AZEV4,AZEVEDO,288.0,296.0
2020-03-10,AZEV4,AZEVEDO,332.0,310.0
2020-03-11,AZEV4,AZEVEDO,324.0,299.0
2020-03-12,AZEV4,AZEVEDO,299.0,252.0
2020-03-13,AZEV4,AZEVEDO,294.0,245.0
2020-03-04,BZLI11,FII BRREALTY,1501.0,1501.0
2020-03-05,BZLI11,FII BRREALTY,1600.0,1501.0
2020-03-06,BZLI11,FII BRREALTY,1501.0,1501.0
2020-03-09,BZLI11,FII BRREALTY,1501.0,1500.0
2020-03-10,BZLI11,FII BRREALTY,1480.0,1480.0
2020-03-11,BZLI11,FII BRREALTY,1560.0,1450.0
2020-03-13,BZLI11,FII BRREALTY,1450.0,1450.0
2020-03-16,AZEV3,AZEVEDO,400.0,400.0
2020-03-19,AZEV3,AZEVEDO,350.0,299.0
2020-03-20,AZEV3,AZEVEDO,300.0,260.0
2020-03-16,AZEV4,AZEVEDO,222.0,206.0
2020-03-17,AZEV4,AZEVEDO,207.0,210.0
2020-03-18,AZEV4,AZEVEDO,197.0,190.0
